,country,wdi_code,region_short,income_short,region,income,f_3,f_3_1,f_3_2,f_3_3,f_3_4,f_3_global,f_3_1_global,f_3_2_global,f_3_3_global,f_3_4_global,f_3_regional,f_3_1_regional,f_3_2_regional,f_3_3_regional,f_3_4_regional,f_3_income,f_3_1_income,f_3_2_income,f_3_3_income,f_3_4_income,q15c_dum,q15a_dum,q24a_dum,q24b_dum,q24c_dum,q24d_dum,q24e_dum,q21_dum,q20_dum,q20a_1_dum,q20a_2_dum,q20a_3_dum,q20a_4_dum,q20a_5_dum,q20a_6_dum,q20j1_dum,q20j2_dum,q20j3_dum,q20j4_dum,q20c_dum,q20e1_dum,q20e2_dum,q20e3_dum,q20e4_dum,q20e5_dum,q20f1_dum,q20f2_dum,q20i_dum,-,q20h_dum,q38g_dum,q38h_dum,q34a_dum,q15b_dum,q15d_dum,q15e_dum,q34d_dum,q34c_dum,q34f_dum,q34g_dum,q38c_dum,q38f_dum,,q15c_dum_maleC,q15c_dum_femaleC,q15a_dum_maleC,q15a_dum_femaleC,q24a_dum_maleC,q24a_dum_femaleC,q24b_dum_maleC,q24b_dum_femaleC,q24c_dum_maleC,q24c_dum_femaleC,q24d_dum_maleC,q24d_dum_femaleC,q24e_dum_maleC,q24e_dum_femaleC,q21_dum_maleC,q21_dum_femaleC,q20_dum_maleC,q20_dum_femaleC,q20a_1_dum_maleC,q20a_1_dum_femaleC,q20a_2_dum_maleC,q20a_2_dum_femaleC,q20a_3_dum_maleC,q20a_3_dum_femaleC,q20a_4_dum_maleC,q20a_4_dum_femaleC,q20a_5_dum_maleC,q20a_5_dum_femaleC,q20a_6_dum_maleC,q20a_6_dum_femaleC,q20j1_dum_maleC,q20j1_dum_femaleC,q20j2_dum_maleC,q20j2_dum_femaleC,q20j3_dum_maleC,q20j3_dum_femaleC,q20j4_dum_maleC,q20j4_dum_femaleC,q20c_dum_maleC,q20c_dum_femaleC,q20e1_dum_maleC,q20e1_dum_femaleC,q20e2_dum_maleC,q20e2_dum_femaleC,q20e3_dum_maleC,q20e3_dum_femaleC,q20e4_dum_maleC,q20e4_dum_femaleC,q20e5_dum_maleC,q20e5_dum_femaleC,q20f1_dum_maleC,q20f1_dum_femaleC,q20f2_dum_maleC,q20f2_dum_femaleC,q20i_dum_maleC,q20i_dum_femaleC,,,q20h_dum_maleC,q20h_dum_femaleC,q38g_dum_maleC,q38g_dum_femaleC,q38h_dum_maleC,q38h_dum_femaleC,q34a_dum_maleC,q34a_dum_femaleC,q15b_dum_maleC,q15b_dum_femaleC,q15d_dum_maleC,q15d_dum_femaleC,q15e_dum_maleC,q15e_dum_femaleC,q34d_dum_maleC,q34d_dum_femaleC,q34c_dum_maleC,q34c_dum_femaleC,q34f_dum_maleC,q34f_dum_femaleC,q34g_dum_maleC,q34g_dum_femaleC,q38c_dum_maleC,q38c_dum_femaleC,q38f_dum_maleC,q38f_dum_femaleC,,q15c_dum_poorC,q15c_dum_richC,q15a_dum_poorC,q15a_dum_richC,q24a_dum_poorC,q24a_dum_richC,q24b_dum_poorC,q24b_dum_richC,q24c_dum_poorC,q24c_dum_richC,q24d_dum_poorC,q24d_dum_richC,q24e_dum_poorC,q24e_dum_richC,q21_dum_poorC,q21_dum_richC,q20_dum_poorC,q20_dum_richC,q20a_1_dum_poorC,q20a_1_dum_richC,q20a_2_dum_poorC,q20a_2_dum_richC,q20a_3_dum_poorC,q20a_3_dum_richC,q20a_4_dum_poorC,q20a_4_dum_richC,q20a_5_dum_poorC,q20a_5_dum_richC,q20a_6_dum_poorC,q20a_6_dum_richC,q20j1_dum_poorC,q20j1_dum_richC,q20j2_dum_poorC,q20j2_dum_richC,q20j3_dum_poorC,q20j3_dum_richC,q20j4_dum_poorC,q20j4_dum_richC,q20c_dum_poorC,q20c_dum_richC,q20e1_dum_poorC,q20e1_dum_richC,q20e2_dum_poorC,q20e2_dum_richC,q20e3_dum_poorC,q20e3_dum_richC,q20e4_dum_poorC,q20e4_dum_richC,q20e5_dum_poorC,q20e5_dum_richC,q20f1_dum_poorC,q20f1_dum_richC,q20f2_dum_poorC,q20f2_dum_richC,q20i_dum_poorC,q20i_dum_richC,,,q20h_dum_poorC,q20h_dum_richC,q38g_dum_poorC,q38g_dum_richC,q38h_dum_poorC,q38h_dum_richC,q34a_dum_poorC,q34a_dum_richC,q15b_dum_poorC,q15b_dum_richC,q15d_dum_poorC,q15d_dum_richC,q15e_dum_poorC,q15e_dum_richC,q34d_dum_poorC,q34d_dum_richC,q34c_dum_poorC,q34c_dum_richC,q34f_dum_poorC,q34f_dum_richC,q34g_dum_poorC,q34g_dum_richC,q38c_dum_poorC,q38c_dum_richC,q38f_dum_poorC,q38f_dum_richC,
6,Afghanistan,AFG,SA,L,South Asia,Low,0.43,0.37,0.39,0.59,0.36,89,84,95,54,96,6,5,6,3,6,8,6,13,4,12,,0.71,,0.74,0.64,0.63,0.60,0.43,0.22,0.28,0.18,0.12,0.18,0.22,0.01,0.51,0.24,0.15,0.10,0.57,0.17,0.46,0.30,0.05,0.02,0.38,0.63,0.57,,0.33,0.61,0.67,0.83,0.65,0.57,0.52,0.77,0.70,0.66,0.67,0.70,0.66,,,,0.64,0.78,,,0.71,0.76,0.66,0.63,0.63,0.63,0.60,0.60,0.50,0.36,0.24,0.20,0.28,0.28,0.23,0.12,0.13,0.12,0.19,0.18,0.17,0.28,0.01,0.01,0.50,0.52,0.23,0.26,0.16,0.13,0.11,0.08,0.54,0.61,0.19,0.15,0.49,0.42,0.27,0.34,0.03,0.08,0.02,0.02,0.34,0.42,0.66,0.58,0.56,0.58,,,0.28,0.38,0.69,0.53,0.73,0.60,0.84,0.81,0.67,0.63,0.55,0.60,0.53,0.51,0.77,0.78,0.70,0.69,0.64,0.67,0.66,0.69,0.74,0.66,0.69,0.63,,,,0.69,0.78,,,0.73,0.75,0.66,0.60,0.64,0.58,0.60,0.59,0.43,0.46,0.21,0.25,0.27,0.29,0.19,0.16,0.11,0.16,0.19,0.16,0.21,0.24,0.01,0.00,0.51,0.48,0.25,0.22,0.14,0.19,0.10,0.10,0.55,0.64,0.21,0.09,0.46,0.44,0.27,0.38,0.04,0.09,0.03,0.00,0.40,0.32,0.60,0.68,0.59,0.52,,,0.30,0.38,0.63,0.55,0.68,0.64,0.82,0.84,0.66,0.64,0.59,0.52,0.51,0.57,0.79,0.70,0.71,0.63,0.67,0.61,0.67,0.67,0.73,0.61,0.67,0.62,
7,Albania,ALB,ECA,UM,Eastern Europe & Central Asia,Upper middle ,0.52,0.43,0.53,0.59,0.52,54,63,55,53,61,6,11,10,3,6,16,20,16,15,19,0.35,0.39,0.54,0.30,0.43,0.53,0.40,0.43,0.05,0.11,0.41,0.04,0.28,0.15,0.00,,,,,0.93,0.15,0.41,0.39,0.02,0.02,0.58,0.42,0.67,,0.33,0.56,0.74,0.85,0.33,0.40,0.35,0.79,0.73,0.40,0.58,0.50,0.66,,0.35,0.35,0.40,0.37,0.57,0.52,0.28,0.33,0.42,0.44,0.50,0.56,0.38,0.42,0.45,0.41,0.07,0.03,0.15,0.00,0.39,0.46,0.06,0.00,0.24,0.38,0.15,0.15,0.00,0.00,,,,,,,,,1.00,0.75,0.18,0.08,0.39,0.46,0.39,0.38,0.00,0.08,0.03,0.00,0.55,0.67,0.45,0.33,0.65,0.70,,,0.35,0.30,0.55,0.58,0.75,0.74,0.86,0.84,0.31,0.34,0.40,0.41,0.36,0.35,0.78,0.80,0.74,0.73,0.43,0.38,0.58,0.58,0.49,0.51,0.65,0.68,,0.35,0.34,0.41,0.36,0.56,0.53,0.30,0.31,0.42,0.43,0.54,0.53,0.39,0.41,0.46,0.40,0.05,0.04,0.08,0.15,0.46,0.35,0.04,0.05,0.31,0.25,0.12,0.20,0.00,0.00,,,,,,,,,0.87,1.00,0.23,0.05,0.46,0.35,0.27,0.55,0.00,0.05,0.04,0.00,0.60,0.55,0.40,0.45,0.74,0.57,,,0.37,0.29,0.56,0.57,0.76,0.73,0.86,0.85,0.35,0.31,0.44,0.37,0.34,0.37,0.80,0.79,0.75,0.72,0.41,0.40,0.59,0.57,0.51,0.48,0.67,0.66,
8,Argentina,ARG,LAC,UM,Latin America & Caribbean,Upper middle ,0.56,0.46,0.57,0.62,0.57,44,56,41,45,44,7,8,5,8,10,9,16,7,10,10,0.36,0.33,0.50,0.42,0.41,0.42,0.45,0.21,0.06,0.53,0.05,0.04,0.19,0.11,0.09,0.61,0.21,0.11,0.07,0.68,0.41,0.41,0.15,0.03,0.00,0.76,0.24,0.64,,0.03,0.75,0.81,0.88,0.31,0.35,0.30,0.85,0.79,0.68,0.74,0.68,0.82,,0.35,0.38,0.32,0.35,0.49,0.51,0.43,0.41,0.39,0.43,0.42,0.42,0.45,0.45,0.22,0.20,0.07,0.06,0.53,0.52,0.03,0.07,0.07,0.00,0.20,0.19,0.10,0.11,0.07,0.11,0.62,0.59,0.21,0.22,0.12,0.11,0.05,0.08,0.68,0.68,0.35,0.47,0.47,0.35,0.12,0.18,0.06,0.00,0.00,0.00,0.82,0.69,0.18,0.31,0.69,0.59,,,0.00,0.06,0.76,0.74,0.80,0.82,0.89,0.86,0.30,0.31,0.34,0.36,0.29,0.31,0.83,0.86,0.80,0.78,0.70,0.67,0.76,0.73,0.67,0.69,0.82,0.82,,0.39,0.32,0.36,0.32,0.51,0.43,0.43,0.38,0.47,0.36,0.42,0.35,0.45,0.43,0.14,0.30,0.07,0.07,0.63,0.53,0.04,0.05,0.00,0.11,0.17,0.11,0.04,0.11,0.13,0.11,0.58,0.58,0.23,0.25,0.13,0.09,0.06,0.08,0.57,0.87,0.50,0.46,0.42,0.38,0.08,0.15,0.00,0.00,0.00,0.00,0.92,0.62,0.08,0.38,0.65,0.68,,,0.00,0.08,0.74,0.73,0.80,0.83,0.85,0.89,0.36,0.27,0.39,0.32,0.35,0.28,0.81,0.87,0.78,0.82,0.67,0.71,0.74,0.72,0.70,0.68,0.82,0.84,
9,Australia,AUS,EAP,H,East Asia & Pacific,High ,0.74,0.64,0.70,0.80,0.82,9,14,17,11,5,2,6,4,2,1,9,14,16,11,5,0.48,0.50,0.79,0.74,0.68,0.72,0.71,0.56,0.07,0.30,0.22,0.04,0.22,0.13,0.09,0.87,0.04,0.04,0.04,0.62,0.35,0.40,0.09,0.12,0.05,0.60,0.40,0.58,,0.02,0.93,0.93,0.97,0.46,0.53,0.45,0.97,0.91,0.84,0.87,0.82,0.92,,0.45,0.51,0.49,0.50,0.78,0.80,0.72,0.77,0.66,0.71,0.70,0.74,0.68,0.75,0.63,0.49,0.07,0.07,0.41,0.20,0.26,0.17,0.00,0.09,0.21,0.23,0.09,0.17,0.03,0.14,0.85,0.90,0.04,0.04,0.05,0.04,0.06,0.02,0.59,0.65,0.35,0.35,0.25,0.52,0.15,0.04,0.20,0.04,0.05,0.04,0.65,0.57,0.35,0.43,0.48,0.68,,,0.00,0.04,0.93,0.92,0.92,0.94,0.96,0.97,0.47,0.46,0.51,0.54,0.45,0.45,0.96,0.98,0.90,0.92,0.84,0.84,0.87,0.86,0.82,0.83,0.90,0.93,,0.43,0.56,0.49,0.52,0.77,0.83,0.73,0.79,0.65,0.75,0.69,0.77,0.70,0.76,0.56,0.59,0.08,0.07,0.35,0.23,0.12,0.31,0.06,0.04,0.24,0.19,0.15,0.15,0.09,0.08,0.86,0.88,0.03,0.06,0.06,0.05,0.05,0.02,0.63,0.65,0.42,0.33,0.42,0.44,0.11,0.11,0.05,0.06,0.00,0.06,0.74,0.50,0.26,0.50,0.70,0.55,,,0.00,0.00,0.92,0.95,0.93,0.95,0.96,0.97,0.46,0.49,0.50,0.60,0.41,0.53,0.97,0.98,0.91,0.93,0.83,0.87,0.85,0.89,0.81,0.86,0.90,0.94,
10,Austria,AUT,EURNA,H,EU + EFTA + North America,High ,0.72,0.65,0.71,0.83,0.70,13,12,11,7,20,9,7,8,6,14,13,12,11,7,19,0.50,0.43,0.68,0.65,0.61,0.64,0.73,0.65,0.23,0.34,0.08,0.06,0.30,0.10,0.11,0.85,0.05,0.07,0.02,0.76,0.48,0.33,0.15,0.03,0.01,0.75,0.25,0.69,,0.04,0.76,0.86,0.93,0.40,0.44,0.38,0.93,0.88,0.76,0.83,0.78,0.96,,0.49,0.51,0.41,0.46,0.66,0.71,0.63,0.67,0.60,0.62,0.63,0.65,0.70,0.76,0.74,0.56,0.24,0.22,0.31,0.37,0.12,0.05,0.08,0.05,0.31,0.30,0.10,0.10,0.08,0.14,0.84,0.86,0.05,0.06,0.09,0.05,0.02,0.02,0.75,0.78,0.42,0.55,0.39,0.26,0.18,0.12,0.01,0.05,0.00,0.03,0.80,0.71,0.20,0.29,0.71,0.67,,,0.02,0.05,0.77,0.75,0.84,0.87,0.93,0.94,0.40,0.40,0.45,0.43,0.39,0.37,0.93,0.93,0.90,0.86,0.80,0.72,0.86,0.81,0.81,0.75,0.96,0.95,,0.48,0.53,0.41,0.48,0.68,0.70,0.62,0.72,0.60,0.66,0.61,0.69,0.72,0.75,0.63,0.72,0.21,0.30,0.34,0.32,0.07,0.10,0.06,0.06,0.26,0.34,0.12,0.09,0.14,0.09,0.83,0.84,0.07,0.05,0.08,0.08,0.02,0.04,0.68,0.84,0.48,0.49,0.33,0.34,0.17,0.14,0.00,0.04,0.02,0.00,0.80,0.70,0.20,0.30,0.62,0.74,,,0.05,0.04,0.74,0.78,0.85,0.87,0.92,0.94,0.37,0.45,0.42,0.50,0.35,0.44,0.91,0.94,0.87,0.92,0.76,0.79,0.80,0.88,0.76,0.83,0.95,0.96,
11,Bangladesh,BGD,SA,L,South Asia,Low,0.47,0.45,0.51,0.49,0.44,73,57,61,82,85,4,4,2,6,5,5,2,1,10,8,0.44,0.48,,,,0.83,,0.43,0.03,0.45,0.10,0.07,0.14,0.24,0.00,,,,,0.78,0.52,0.33,0.10,0.00,0.05,0.90,0.10,0.70,,0.24,0.38,0.59,0.74,0.60,0.33,0.29,0.71,0.40,0.31,0.31,0.28,0.69,,0.37,0.51,0.39,0.57,,,0.94,0.94,,,0.78,0.91,,,0.49,0.37,0.03,0.02,0.47,0.42,0.18,0.00,0.06,0.08,0.12,0.17,0.18,0.33,0.00,0.00,,,,,,,,,0.82,0.70,0.36,0.86,0.43,0.14,0.14,0.00,0.00,0.00,0.07,0.00,0.86,1.00,0.14,0.00,0.71,0.70,,,0.29,0.14,0.34,0.41,0.55,0.63,0.68,0.80,0.52,0.68,0.27,0.39,0.23,0.36,0.72,0.70,0.40,0.39,0.31,0.31,0.31,0.31,0.28,0.29,0.66,0.72,,0.42,0.49,0.43,0.58,,,0.98,0.90,,,0.83,0.83,,,0.41,0.49,0.02,0.05,0.46,0.44,0.15,0.06,0.00,0.13,0.08,0.19,0.31,0.19,0.00,0.00,,,,,,,,,0.75,0.80,0.78,0.33,0.22,0.42,0.00,0.17,0.00,0.00,0.00,0.08,1.00,0.83,0.00,0.17,0.67,0.73,,,0.11,0.33,0.40,0.34,0.59,0.58,0.75,0.72,0.59,0.63,0.33,0.33,0.28,0.31,0.71,0.72,0.39,0.42,0.31,0.32,0.31,0.31,0.28,0.30,0.68,0.70,
12,Belarus,BLR,ECA,UM,Eastern Europe & Central Asia,Upper middle ,0.46,0.41,0.50,0.36,0.55,78,75,64,93,52,10,13,12,10,4,24,25,20,26,14,0.40,0.35,0.53,0.47,0.45,0.58,0.45,,0.05,0.43,0.10,0.10,0.04,0.33,0.00,,,,,0.88,0.59,0.41,0.00,0.00,0.00,0.34,0.66,1.00,,0.00,0.78,0.54,0.53,0.33,0.40,0.47,0.91,0.31,0.18,0.40,0.31,0.87,,0.42,0.38,0.34,0.35,0.53,0.54,0.48,0.46,0.45,0.46,0.60,0.55,0.45,0.46,,,0.05,0.05,0.38,0.48,0.12,0.09,0.12,0.09,0.00,0.09,0.38,0.26,0.00,0.00,,,,,,,,,0.85,0.91,0.57,0.62,0.43,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.33,0.65,0.67,1.00,1.00,,,0.00,0.00,0.79,0.77,0.56,0.52,0.54,0.52,0.33,0.34,0.38,0.43,0.49,0.46,0.91,0.92,0.33,0.29,0.20,0.16,0.42,0.38,0.27,0.35,0.86,0.88,,0.40,0.42,0.34,0.38,0.53,0.54,0.48,0.45,0.46,0.43,0.58,0.57,0.46,0.41,,,0.04,0.08,0.38,0.53,0.09,0.13,0.12,0.07,0.00,0.13,0.41,0.13,0.00,0.00,,,,,,,,,0.82,1.00,0.57,0.63,0.43,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.44,0.71,0.56,1.00,1.00,,,0.00,0.00,0.78,0.76,0.53,0.57,0.52,0.59,0.33,0.35,0.39,0.43,0.47,0.46,0.92,0.90,0.31,0.34,0.18,0.19,0.40,0.39,0.31,0.29,0.88,0.82,
13,Belgium,BEL,EURNA,H,EU + EFTA + North America,High ,0.70,0.56,0.70,0.79,0.74,16,23,15,12,16,12,15,12,10,11,16,22,15,12,15,0.42,0.37,0.80,0.73,0.61,0.76,0.65,0.34,0.16,0.38,0.21,0.04,0.15,0.09,0.13,0.87,0.07,0.03,0.03,0.73,0.49,0.31,0.18,0.01,0.02,0.68,0.32,0.77,,0.02,0.82,0.89,0.95,0.40,0.45,0.34,0.94,0.82,0.76,0.79,0.78,0.93,,0.43,0.42,0.42,0.32,0.82,0.79,0.75,0.70,0.63,0.57,0.79,0.74,0.68,0.61,0.42,0.26,0.18,0.15,0.40,0.36,0.17,0.26,0.03,0.05,0.20,0.08,0.09,0.08,0.10,0.16,0.88,0.87,0.06,0.08,0.03,0.03,0.04,0.03,0.76,0.69,0.53,0.43,0.32,0.30,0.13,0.23,0.00,0.02,0.02,0.02,0.69,0.67,0.31,0.33,0.73,0.81,,,0.03,0.02,0.85,0.79,0.91,0.87,0.97,0.92,0.41,0.38,0.46,0.44,0.35,0.34,0.96,0.92,0.88,0.77,0.80,0.71,0.82,0.76,0.80,0.76,0.94,0.92,,0.41,0.47,0.36,0.41,0.77,0.86,0.69,0.80,0.58,0.64,0.73,0.84,0.62,0.69,0.28,0.44,0.17,0.18,0.48,0.29,0.20,0.22,0.05,0.05,0.08,0.20,0.08,0.08,0.11,0.17,0.85,0.90,0.08,0.06,0.02,0.02,0.04,0.02,0.75,0.75,0.49,0.48,0.30,0.34,0.21,0.11,0.00,0.02,0.00,0.05,0.70,0.69,0.30,0.31,0.85,0.74,,,0.04,0.02,0.81,0.83,0.87,0.90,0.94,0.95,0.39,0.42,0.46,0.46,0.34,0.35,0.93,0.95,0.79,0.88,0.72,0.80,0.78,0.80,0.74,0.82,0.93,0.93,
14,Belize,BLZ,LAC,UM,Latin America & Caribbean,Upper middle ,0.55,0.46,0.51,0.63,0.59,48,53,62,41,39,10,7,13,6,8,12,14,19,8,9,0.59,0.63,0.55,0.64,0.57,0.55,0.67,0.14,0.09,0.33,0.15,0.09,0.14,0.28,0.02,0.63,0.15,0.19,0.04,0.57,0.33,0.37,0.18,0.00,0.12,0.60,0.40,0.65,,0.35,0.72,0.70,0.85,0.61,0.59,0.60,0.79,0.72,0.72,0.73,0.60,0.77,,0.57,0.60,0.64,0.61,0.51,0.61,0.63,0.66,0.54,0.61,0.53,0.56,0.68,0.66,0.15,0.13,0.10,0.09,0.38,0.26,0.13,0.17,0.06,0.12,0.13,0.14,0.29,0.26,0.00,0.05,0.64,0.62,0.13,0.16,0.18,0.19,0.05,0.03,0.64,0.48,0.26,0.45,0.35,0.40,0.23,0.10,0.00,0.00,0.16,0.05,0.61,0.58,0.39,0.42,0.64,0.67,,,0.32,0.40,0.72,0.72,0.74,0.67,0.87,0.83,0.63,0.59,0.60,0.58,0.61,0.59,0.81,0.78,0.73,0.72,0.71,0.74,0.74,0.73,0.60,0.60,0.77,0.78,,0.62,0.49,0.63,0.53,0.54,0.60,0.64,0.73,0.55,0.69,0.56,0.54,0.68,0.73,0.15,0.12,0.11,0.08,0.31,0.47,0.13,0.16,0.09,0.00,0.16,0.11,0.28,0.26,0.03,0.00,0.64,0.52,0.14,0.20,0.17,0.24,0.04,0.04,0.55,0.72,0.41,0.15,0.35,0.38,0.08,0.46,0.00,0.00,0.16,0.00,0.60,0.69,0.40,0.31,0.70,0.50,,,0.42,0.23,0.77,0.79,0.77,0.73,0.89,0.89,0.61,0.56,0.62,0.50,0.63,0.49,0.86,0.82,0.78,0.79,0.78,0.76,0.80,0.75,0.64,0.67,0.82,0.84,
15,Bolivia,BOL,LAC,LM,Latin America & Caribbean,Lower middle ,0.45,0.37,0.43,0.51,0.51,80,86,84,79,66,17,17,17,16,17,18,18,17,20,12,0.52,0.40,0.54,0.54,0.55,0.46,0.56,0.23,0.09,0.17,0.24,0.14,0.19,0.15,0.11,0.69,0.17,0.07,0.07,0.43,0.45,0.42,0.09,0.00,0.03,0.42,0.58,0.31,,0.15,0.82,0.86,0.86,0.44,0.48,0.42,0.90,0.67,0.55,0.54,0.48,0.83,,0.51,0.54,0.39,0.41,0.52,0.56,0.52,0.55,0.55,0.55,0.48,0.44,0.54,0.57,0.27,0.18,0.09,0.08,0.15,0.19,0.23,0.25,0.13,0.15,0.23,0.15,0.15,0.15,0.10,0.13,0.69,0.68,0.16,0.19,0.06,0.08,0.08,0.05,0.40,0.46,0.47,0.44,0.41,0.44,0.12,0.06,0.00,0.00,0.00,0.06,0.35,0.50,0.65,0.50,0.29,0.33,,,0.24,0.06,0.82,0.81,0.87,0.84,0.87,0.85,0.44,0.43,0.46,0.50,0.41,0.43,0.92,0.88,0.69,0.66,0.57,0.53,0.56,0.52,0.50,0.47,0.87,0.80,,0.57,0.46,0.42,0.34,0.58,0.50,0.59,0.48,0.58,0.50,0.53,0.36,0.59,0.50,0.22,0.24,0.11,0.08,0.22,0.11,0.24,0.23,0.12,0.14,0.12,0.31,0.17,0.11,0.12,0.09,0.66,0.71,0.19,0.15,0.09,0.06,0.06,0.08,0.30,0.62,0.50,0.47,0.43,0.41,0.07,0.06,0.00,0.00,0.00,0.06,0.31,0.50,0.69,0.50,0.29,0.35,,,0.21,0.11,0.82,0.81,0.86,0.86,0.86,0.85,0.49,0.38,0.52,0.41,0.47,0.33,0.90,0.89,0.72,0.61,0.59,0.48,0.59,0.48,0.54,0.40,0.84,0.83,
